district,soil_type,pH,N_mg_per_kg,P_mg_per_kg,K_mg_per_kg,organic_carbon_pct,zinc_mg_per_kg,iron_mg_per_kg,copper_mg_per_kg,manganese_mg_per_kg,boron_mg_per_kg
KATNI,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
KHANDWA,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
KHARGONE,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
MANDLA,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
MANDSAUR,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
MORENA,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
NARSINGHPUR,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
NEEMUCH,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
PANNA,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
RAISEN,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
RAJGARH,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
RATLAM,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
REWA,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
SAGAR,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
SATNA,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
SEHORE,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
SEONI,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
SHAHDOL,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
SHAJAPUR,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
SHEOPUR,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
SHIVPURI,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
SIDHI,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
SINGRAULI,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
TIKAMGARH,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
UJJAIN,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
UMARIA,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
VIDISHA,Black,7.0,14500.0,35.0,180.0,1.34,1.5,15.0,1.2,8.0,0.5
AHMEDNAGAR,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
AKOLA,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
AMRAVATI,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
AURANGABAD,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
BEED,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
BHANDARA,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
BULDHANA,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
CHANDRAPUR,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
DHULE,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
GADCHIROLI,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
GONDIA,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
HINGOLI,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
JALGAON,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
JALNA,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
KOLHAPUR,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
LATUR,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
MUMBAI,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
NAGPUR,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
NANDED,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
NANDURBAR,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
NASHIK,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
OSMANABAD,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
PALGHAR,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
PARBHANI,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
PUNE,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
RAIGAD,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
RATNAGIRI,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
SANGLI,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
SATARA,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
SINDHUDURG,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
SOLAPUR,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
THANE,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
WARDHA,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
WASHIM,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
YAVATMAL,Black,7.0,12400.0,35.0,180.0,0.97,1.5,15.0,1.2,8.0,0.5
NORTH GOA,Laterite,7.0,29600.0,35.0,180.0,4.67,1.5,15.0,1.2,8.0,0.5
SOUTH GOA,Laterite,7.0,29600.0,35.0,180.0,4.67,1.5,15.0,1.2,8.0,0.5
AIZAWL,Mountain,5.3,46700.0,35.0,180.0,3.74,1.5,15.0,1.2,8.0,0.5
CHAMPHAI,Mountain,5.3,46700.0,35.0,180.0,3.74,1.5,15.0,1.2,8.0,0.5
KOLASIB,Mountain,5.3,46700.0,35.0,180.0,3.74,1.5,15.0,1.2,8.0,0.5
LAWNGTLAI,Mountain,5.3,46700.0,35.0,180.0,3.74,1.5,15.0,1.2,8.0,0.5
LUNGLEI,Mountain,5.3,46700.0,35.0,180.0,3.74,1.5,15.0,1.2,8.0,0.5
MAMIT,Mountain,5.3,46700.0,35.0,180.0,3.74,1.5,15.0,1.2,8.0,0.5
SAIHA,Mountain,5.3,46700.0,35.0,180.0,3.74,1.5,15.0,1.2,8.0,0.5
SERCHHIP,Mountain,5.3,46700.0,35.0,180.0,3.74,1.5,15.0,1.2,8.0,0.5
BOKARO,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
CHATRA,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
DEOGHAR,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
DHANBAD,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
DUMKA,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
EAST SINGHBUM,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
GARHWA,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
GIRIDIH,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
GODDA,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
GUMLA,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
HAZARIBAGH,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
JAMTARA,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
KHUNTI,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
KODERMA,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
LATEHAR,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
LOHARDAGA,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
PAKUR,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
PALAMU,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
RAMGARH,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
RANCHI,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
SAHEBGANJ,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
SARAIKELA KHARSAWAN,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
SIMDEGA,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
WEST SINGHBHUM,Red,7.0,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
EAST GARO HILLS,Laterite,5.2,78600.0,35.0,180.0,6.92,1.5,15.0,1.2,8.0,0.5
EAST JAINTIA HILLS,Laterite,5.2,78600.0,35.0,180.0,6.92,1.5,15.0,1.2,8.0,0.5
EAST KHASI HILLS,Laterite,5.2,78600.0,35.0,180.0,6.92,1.5,15.0,1.2,8.0,0.5
NORTH GARO HILLS,Laterite,5.2,78600.0,35.0,180.0,6.92,1.5,15.0,1.2,8.0,0.5
RI BHOI,Laterite,5.2,78600.0,35.0,180.0,6.92,1.5,15.0,1.2,8.0,0.5
SOUTH GARO HILLS,Laterite,5.2,78600.0,35.0,180.0,6.92,1.5,15.0,1.2,8.0,0.5
SOUTH WEST GARO HILLS,Laterite,5.2,78600.0,35.0,180.0,6.92,1.5,15.0,1.2,8.0,0.5
SOUTH WEST KHASI HILLS,Laterite,5.2,78600.0,35.0,180.0,6.92,1.5,15.0,1.2,8.0,0.5
WEST GARO HILLS,Laterite,5.2,78600.0,35.0,180.0,6.92,1.5,15.0,1.2,8.0,0.5
WEST JAINTIA HILLS,Laterite,5.2,78600.0,35.0,180.0,6.92,1.5,15.0,1.2,8.0,0.5
WEST KHASI HILLS,Laterite,5.2,78600.0,35.0,180.0,6.92,1.5,15.0,1.2,8.0,0.5
AMRITSAR,Alluvial,7.0,150.0,35.0,180.0,1.21,1.5,15.0,1.2,8.0,0.5
BARNALA,Alluvial,7.0,150.0,35.0,180.0,1.21,1.5,15.0,1.2,8.0,0.5
BATHINDA,Alluvial,7.0,150.0,35.0,180.0,1.21,1.5,15.0,1.2,8.0,0.5
FARIDKOT,Alluvial,7.0,150.0,35.0,180.0,1.21,1.5,15.0,1.2,8.0,0.5
FATEHGARH SAHIB,Alluvial,7.0,150.0,35.0,180.0,1.21,1.5,15.0,1.2,8.0,0.5
FAZILKA,Alluvial,7.0,150.0,35.0,180.0,1.21,1.5,15.0,1.2,8.0,0.5
FIROZEPUR,Alluvial,7.0,150.0,35.0,180.0,1.21,1.5,15.0,1.2,8.0,0.5
GURDASPUR,Alluvial,7.0,150.0,35.0,180.0,1.21,1.5,15.0,1.2,8.0,0.5
HOSHIARPUR,Alluvial,7.0,150.0,35.0,180.0,1.21,1.5,15.0,1.2,8.0,0.5
JALANDHAR,Alluvial,7.0,150.0,35.0,180.0,1.21,1.5,15.0,1.2,8.0,0.5
KAPURTHALA,Alluvial,7.0,150.0,35.0,180.0,1.21,1.5,15.0,1.2,8.0,0.5
LUDHIANA,Alluvial,7.0,150.0,35.0,180.0,1.21,1.5,15.0,1.2,8.0,0.5
MANSA,Alluvial,7.0,150.0,35.0,180.0,1.21,1.5,15.0,1.2,8.0,0.5
MOGA,Alluvial,7.0,150.0,35.0,180.0,1.21,1.5,15.0,1.2,8.0,0.5
MUKTSAR,Alluvial,7.0,150.0,35.0,180.0,1.21,1.5,15.0,1.2,8.0,0.5
NAWANSHAHR,Alluvial,7.0,150.0,35.0,180.0,1.21,1.5,15.0,1.2,8.0,0.5
PATHANKOT,Alluvial,7.0,150.0,35.0,180.0,1.21,1.5,15.0,1.2,8.0,0.5
PATIALA,Alluvial,7.0,150.0,35.0,180.0,1.21,1.5,15.0,1.2,8.0,0.5
RUPNAGAR,Alluvial,7.0,150.0,35.0,180.0,1.21,1.5,15.0,1.2,8.0,0.5
S.A.S NAGAR,Alluvial,7.0,150.0,35.0,180.0,1.21,1.5,15.0,1.2,8.0,0.5
SANGRUR,Alluvial,7.0,150.0,35.0,180.0,1.21,1.5,15.0,1.2,8.0,0.5
TARN TARAN,Alluvial,7.0,150.0,35.0,180.0,1.21,1.5,15.0,1.2,8.0,0.5
AJMER,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
ALWAR,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
BANSWARA,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
BARAN,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
BARMER,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
BHARATPUR,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
BHILWARA,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
BIKANER,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
BUNDI,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
CHITTORGARH,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
CHURU,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
DAUSA,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
DHOLPUR,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
DUNGARPUR,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
GANGANAGAR,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
HANUMANGARH,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
JAIPUR,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
JAISALMER,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
JALORE,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
JHALAWAR,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
JHUNJHUNU,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
JODHPUR,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
KARAULI,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
KOTA,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
NAGAUR,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
PALI,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
PRATAPGARH,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
RAJSAMAND,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
SAWAI MADHOPUR,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
SIKAR,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
SIROHI,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
TONK,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
UDAIPUR,Arid,7.7,150.0,35.0,180.0,0.53,1.5,15.0,1.2,8.0,0.5
EAST DISTRICT,Mountain,7.0,100800.0,35.0,180.0,5.81,1.5,15.0,1.2,8.0,0.5
NORTH DISTRICT,Mountain,7.0,100800.0,35.0,180.0,5.81,1.5,15.0,1.2,8.0,0.5
SOUTH DISTRICT,Mountain,7.0,100800.0,35.0,180.0,5.81,1.5,15.0,1.2,8.0,0.5
WEST DISTRICT,Mountain,7.0,100800.0,35.0,180.0,5.81,1.5,15.0,1.2,8.0,0.5
ARIYALUR,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
COIMBATORE,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
CUDDALORE,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
DHARMAPURI,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
DINDIGUL,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
ERODE,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
KANCHIPURAM,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
KANNIYAKUMARI,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
KARUR,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
KRISHNAGIRI,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
MADURAI,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
NAGAPATTINAM,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
NAMAKKAL,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
PERAMBALUR,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
PUDUKKOTTAI,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
RAMANATHAPURAM,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
SALEM,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
SIVAGANGA,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
THANJAVUR,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
THE NILGIRIS,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
THENI,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
THIRUVALLUR,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
THIRUVARUR,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
TIRUCHIRAPPALLI,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
TIRUNELVELI,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
TIRUPPUR,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
TIRUVANNAMALAI,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
TUTICORIN,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
VELLORE,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
VILLUPURAM,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
VIRUDHUNAGAR,Red,7.0,17200.0,35.0,180.0,4.25,1.5,15.0,1.2,8.0,0.5
ADILABAD,Red,7.0,150.0,35.0,180.0,1.37,1.5,15.0,1.2,8.0,0.5
HYDERABAD,Red,7.0,150.0,35.0,180.0,1.37,1.5,15.0,1.2,8.0,0.5
KARIMNAGAR,Red,7.0,150.0,35.0,180.0,1.37,1.5,15.0,1.2,8.0,0.5
KHAMMAM,Red,7.0,150.0,35.0,180.0,1.37,1.5,15.0,1.2,8.0,0.5
MAHBUBNAGAR,Red,7.0,150.0,35.0,180.0,1.37,1.5,15.0,1.2,8.0,0.5
MEDAK,Red,7.0,150.0,35.0,180.0,1.37,1.5,15.0,1.2,8.0,0.5
NALGONDA,Red,7.0,150.0,35.0,180.0,1.37,1.5,15.0,1.2,8.0,0.5
NIZAMABAD,Red,7.0,150.0,35.0,180.0,1.37,1.5,15.0,1.2,8.0,0.5
RANGAREDDI,Red,7.0,150.0,35.0,180.0,1.37,1.5,15.0,1.2,8.0,0.5
WARANGAL,Red,7.0,150.0,35.0,180.0,1.37,1.5,15.0,1.2,8.0,0.5
DHALAI,Alluvial,7.0,18200.0,35.0,180.0,1.88,1.5,15.0,1.2,8.0,0.5
GOMATI,Alluvial,7.0,18200.0,35.0,180.0,1.88,1.5,15.0,1.2,8.0,0.5
KHOWAI,Alluvial,7.0,18200.0,35.0,180.0,1.88,1.5,15.0,1.2,8.0,0.5
NORTH TRIPURA,Alluvial,7.0,18200.0,35.0,180.0,1.88,1.5,15.0,1.2,8.0,0.5
SEPAHIJALA,Alluvial,7.0,18200.0,35.0,180.0,1.88,1.5,15.0,1.2,8.0,0.5
SOUTH TRIPURA,Alluvial,7.0,18200.0,35.0,180.0,1.88,1.5,15.0,1.2,8.0,0.5
UNAKOTI,Alluvial,7.0,18200.0,35.0,180.0,1.88,1.5,15.0,1.2,8.0,0.5
WEST TRIPURA,Alluvial,7.0,18200.0,35.0,180.0,1.88,1.5,15.0,1.2,8.0,0.5
ALMORA,Mountain,7.0,68500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
BAGESHWAR,Mountain,7.0,68500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
CHAMOLI,Mountain,7.0,68500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
CHAMPAWAT,Mountain,7.0,68500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
DEHRADUN,Mountain,7.0,68500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
HARIDWAR,Mountain,7.0,68500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
NAINITAL,Mountain,7.0,68500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
PAURI GARHWAL,Mountain,7.0,68500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
PITHORAGARH,Mountain,7.0,68500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
RUDRA PRAYAG,Mountain,7.0,68500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
TEHRI GARHWAL,Mountain,7.0,68500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
UDAM SINGH NAGAR,Mountain,7.0,68500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
UTTAR KASHI,Mountain,7.0,68500.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
24 PARAGANAS NORTH,Alluvial,6.7,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
24 PARAGANAS SOUTH,Alluvial,6.7,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
BANKURA,Alluvial,6.7,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
BARDHAMAN,Alluvial,6.7,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
BIRBHUM,Alluvial,6.7,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
COOCHBEHAR,Alluvial,6.7,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
DARJEELING,Alluvial,6.7,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
DINAJPUR DAKSHIN,Alluvial,6.7,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
DINAJPUR UTTAR,Alluvial,6.7,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
HOOGHLY,Alluvial,6.7,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
HOWRAH,Alluvial,6.7,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
JALPAIGURI,Alluvial,6.7,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
MALDAH,Alluvial,6.7,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
MEDINIPUR EAST,Alluvial,6.7,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
MEDINIPUR WEST,Alluvial,6.7,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
MURSHIDABAD,Alluvial,6.7,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
NADIA,Alluvial,6.7,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
PURULIA,Alluvial,6.7,150.0,35.0,180.0,0.6,1.5,15.0,1.2,8.0,0.5
AGRA,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
ALIGARH,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
ALLAHABAD,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
AMBEDKAR NAGAR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
AMETHI,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
AMROHA,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
AURAIYA,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
AZAMGARH,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
BAGHPAT,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
BAHRAICH,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
BALLIA,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
BALRAMPUR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
BANDA,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
BARABANKI,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
BAREILLY,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
BASTI,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
BIJNOR,Alluvial,7.0,150.0,35.0,180.0,1.65,1.5,15.0,1.2,8.0,0.5
